regime,entry_bar,bars_held,pnl_ticks,pnl_usd,status,exit_reason,max_profit,max_loss
HIGH_VOL_EXPANSION,76,1,53.27623166648829,1065.524633329766,WIN,PROFIT_TARGET,53.27623166648829,0
HIGH_VOL_EXPANSION,105,8,-50.32991903960996,-1006.5983807921992,LOSS,STOP_LOSS,0.17887186492062251,-50.32991903960996
HIGH_VOL_EXPANSION,113,1,49.85526404204256,997.1052808408513,WIN,PROFIT_TARGET,49.85526404204256,0
HIGH_VOL_EXPANSION,159,1,54.67364413342003,1093.4728826684004,WIN,PROFIT_TARGET,54.67364413342003,0
HIGH_VOL_EXPANSION,163,1,64.36274450806276,1287.2548901612552,WIN,PROFIT_TARGET,64.36274450806276,0
HIGH_VOL_EXPANSION,167,1,55.54866352191158,1110.9732704382316,WIN,PROFIT_TARGET,55.54866352191158,0
HIGH_VOL_EXPANSION,182,1,60.59113872008493,1211.8227744016986,WIN,PROFIT_TARGET,60.59113872008493,0
HIGH_VOL_EXPANSION,188,7,-64.08254176935895,-1281.650835387179,LOSS,STOP_LOSS,4.5913851325384005,-64.08254176935895
HIGH_VOL_EXPANSION,211,8,-48.90573733008498,-978.1147466016996,LOSS,STOP_LOSS,1.0219977683657775,-48.90573733008498
HIGH_VOL_EXPANSION,238,1,47.332558852961185,946.6511770592238,WIN,PROFIT_TARGET,47.332558852961185,0
HIGH_VOL_EXPANSION,249,1,56.17261025226892,1123.4522050453784,WIN,PROFIT_TARGET,56.17261025226892,0
HIGH_VOL_EXPANSION,308,1,59.87669224393579,1197.5338448787159,WIN,PROFIT_TARGET,59.87669224393579,0
HIGH_VOL_EXPANSION,374,4,-821.8200870660941,-16436.401741321883,LOSS,STOP_LOSS,0.8033942711092257,-821.8200870660941
HIGH_VOL_EXPANSION,375,3,-822.3356695894527,-16446.713391789053,LOSS,STOP_LOSS,0.2878117477507214,-822.3356695894527
HIGH_VOL_EXPANSION,385,1,44.28616483547233,885.7232967094466,WIN,PROFIT_TARGET,44.28616483547233,0
HIGH_VOL_EXPANSION,458,1,45.755301161101144,915.1060232220229,WIN,PROFIT_TARGET,45.755301161101144,0
HIGH_VOL_EXPANSION,555,1,35.3975166634817,707.950333269634,WIN,PROFIT_TARGET,35.3975166634817,0
HIGH_VOL_EXPANSION,574,1,77.35739296755742,1547.1478593511483,WIN,PROFIT_TARGET,77.35739296755742,0
HIGH_VOL_EXPANSION,584,7,10.79410535235157,215.8821070470314,WIN,PROFIT_TARGET,10.79410535235157,0
HIGH_VOL_EXPANSION,593,10,-20.32639835124502,-406.5279670249004,LOSS,STOP_LOSS,1.4422559989942185,-20.32639835124502
HIGH_VOL_EXPANSION,595,5,-21.30908405840167,-426.1816811680334,LOSS,STOP_LOSS,0,-21.30908405840167
HIGH_VOL_EXPANSION,596,11,-21.415661754721853,-428.31323509443706,LOSS,STOP_LOSS,0,-21.415661754721853
HIGH_VOL_EXPANSION,598,25,-33.93327250713794,-678.6654501427588,LOSS,STOP_LOSS,0.9613883459313632,-33.93327250713794
HIGH_VOL_EXPANSION,629,2,36.76481087164476,735.2962174328952,WIN,PROFIT_TARGET,36.76481087164476,0
HIGH_VOL_EXPANSION,630,1,34.23765975461004,684.7531950922008,WIN,PROFIT_TARGET,34.23765975461004,0
HIGH_VOL_EXPANSION,652,30,-5.589251850971294,-111.78503701942589,LOSS,TIMEOUT,1.8350994615621259,-16.781859573187973
HIGH_VOL_EXPANSION,658,30,2.439857284239608,48.797145684792156,WIN,TIMEOUT,6.291300718210263,-12.325658316539833
HIGH_VOL_EXPANSION,659,30,3.695616588058985,73.9123317611797,WIN,TIMEOUT,6.682062546221264,-11.934896488528835
HIGH_VOL_EXPANSION,1259,1,15.736869492861521,314.7373898572304,WIN,PROFIT_TARGET,15.736869492861521,0
HIGH_VOL_EXPANSION,1277,30,-5.213416251366314,-104.26832502732628,LOSS,TIMEOUT,3.418554783783387,-15.976106324055317
HIGH_VOL_EXPANSION,1279,30,-3.617279471930542,-72.34558943861084,LOSS,TIMEOUT,6.375085840325695,-13.019575267513005
HIGH_VOL_EXPANSION,1280,30,-12.373526620692438,-247.47053241384876,LOSS,TIMEOUT,7.363228988936344,-12.373526620692438
HIGH_VOL_EXPANSION,1281,30,-1.4021207542894198,-28.0424150857884,LOSS,TIMEOUT,8.318573124895796,-11.418182484732982
HIGH_VOL_EXPANSION,1282,30,-6.511375073461295,-130.2275014692259,LOSS,TIMEOUT,7.774785130538636,-11.961970479090144
HIGH_VOL_EXPANSION,1283,30,-7.683450991623532,-153.66901983247064,LOSS,TIMEOUT,4.489350005527609,-15.247405604101171
HIGH_VOL_EXPANSION,1284,30,-5.622130837440118,-112.44261674880237,LOSS,TIMEOUT,4.013600113460162,-15.723155496168618
HIGH_VOL_EXPANSION,1285,30,-8.489095884497566,-169.7819176899513,LOSS,TIMEOUT,0,-19.73675560962878
HIGH_VOL_EXPANSION,1286,30,2.0678220611314533,41.356441222629066,WIN,TIMEOUT,5.7401301052843365,-12.887970675393548
HIGH_VOL_EXPANSION,1288,30,2.600161252574803,52.00322505149606,WIN,TIMEOUT,6.946084188227272,-11.682016592450614
HIGH_VOL_EXPANSION,1289,30,0.05504134080511064,1.1008268161022128,WIN,TIMEOUT,6.5876529796893735,-12.040447800988511
HIGH_VOL_EXPANSION,1361,1,70.01873680407107,1400.3747360814214,WIN,PROFIT_TARGET,70.01873680407107,0
