regime,bars_held,pnl_ticks_original,pnl_ticks_fixed,pnl_usd_original,pnl_usd_fixed,status,reason,max_profit,max_loss
HIGH_VOL_EXPANSION,1,53.27623166648829,53.27623166648829,1065.524633329766,1065.524633329766,WIN,PROFIT_TARGET,53.27623166648829,0
HIGH_VOL_EXPANSION,8,-50.32991903960996,-50.32991903960996,-1006.5983807921992,-1006.5983807921992,LOSS,WEAK_REVERSAL_EXIT,0.17887186492062251,-50.32991903960996
HIGH_VOL_EXPANSION,1,49.85526404204256,49.85526404204256,997.1052808408513,997.1052808408513,WIN,PROFIT_TARGET,49.85526404204256,0
HIGH_VOL_EXPANSION,1,54.67364413342003,54.67364413342003,1093.4728826684004,1093.4728826684004,WIN,PROFIT_TARGET,54.67364413342003,0
HIGH_VOL_EXPANSION,1,64.36274450806276,64.36274450806276,1287.2548901612552,1287.2548901612552,WIN,PROFIT_TARGET,64.36274450806276,0
HIGH_VOL_EXPANSION,1,55.54866352191158,55.54866352191158,1110.9732704382316,1110.9732704382316,WIN,PROFIT_TARGET,55.54866352191158,0
HIGH_VOL_EXPANSION,1,60.59113872008493,60.59113872008493,1211.8227744016986,1211.8227744016986,WIN,PROFIT_TARGET,60.59113872008493,0
HIGH_VOL_EXPANSION,7,-64.08254176935895,-64.08254176935895,-1281.650835387179,-1281.650835387179,LOSS,WEAK_REVERSAL_EXIT,4.5913851325384005,-64.08254176935895
HIGH_VOL_EXPANSION,8,-48.90573733008498,-48.90573733008498,-978.1147466016996,-978.1147466016996,LOSS,WEAK_REVERSAL_EXIT,1.0219977683657775,-48.90573733008498
HIGH_VOL_EXPANSION,1,47.332558852961185,47.332558852961185,946.6511770592238,946.6511770592238,WIN,PROFIT_TARGET,47.332558852961185,0
HIGH_VOL_EXPANSION,1,56.17261025226892,56.17261025226892,1123.4522050453784,1123.4522050453784,WIN,PROFIT_TARGET,56.17261025226892,0
HIGH_VOL_EXPANSION,1,59.87669224393579,59.87669224393579,1197.5338448787159,1197.5338448787159,WIN,PROFIT_TARGET,59.87669224393579,0
HIGH_VOL_EXPANSION,4,-821.8200870660941,-100,-16436.401741321883,-2000.0,LOSS,WEAK_REVERSAL_EXIT,0.8033942711092257,-821.8200870660941
HIGH_VOL_EXPANSION,3,-822.3356695894527,-100,-16446.713391789053,-2000.0,LOSS,WEAK_REVERSAL_EXIT,0.2878117477507214,-822.3356695894527
HIGH_VOL_EXPANSION,1,44.28616483547233,44.28616483547233,885.7232967094466,885.7232967094466,WIN,PROFIT_TARGET,44.28616483547233,0
HIGH_VOL_EXPANSION,1,45.755301161101144,45.755301161101144,915.1060232220229,915.1060232220229,WIN,PROFIT_TARGET,45.755301161101144,0
HIGH_VOL_EXPANSION,1,35.3975166634817,35.3975166634817,707.950333269634,707.950333269634,WIN,PROFIT_TARGET,35.3975166634817,0
HIGH_VOL_EXPANSION,1,77.35739296755742,77.35739296755742,1547.1478593511483,1547.1478593511483,WIN,PROFIT_TARGET,77.35739296755742,0
HIGH_VOL_EXPANSION,7,10.79410535235157,10.79410535235157,215.8821070470314,215.8821070470314,WIN,PROFIT_TARGET,10.79410535235157,0
HIGH_VOL_EXPANSION,10,-20.32639835124502,-20.32639835124502,-406.5279670249004,-406.5279670249004,LOSS,WEAK_REVERSAL_EXIT,1.4422559989942185,-20.32639835124502
HIGH_VOL_EXPANSION,5,-21.30908405840167,-21.30908405840167,-426.1816811680334,-426.1816811680334,LOSS,WEAK_REVERSAL_EXIT,0,-21.30908405840167
HIGH_VOL_EXPANSION,11,-21.415661754721853,-21.415661754721853,-428.31323509443706,-428.31323509443706,LOSS,WEAK_REVERSAL_EXIT,0,-21.415661754721853
HIGH_VOL_EXPANSION,25,-33.93327250713794,-33.93327250713794,-678.6654501427588,-678.6654501427588,LOSS,WEAK_REVERSAL_EXIT,0.9613883459313632,-33.93327250713794
HIGH_VOL_EXPANSION,2,36.76481087164476,36.76481087164476,735.2962174328952,735.2962174328952,WIN,PROFIT_TARGET,36.76481087164476,0
HIGH_VOL_EXPANSION,1,34.23765975461004,34.23765975461004,684.7531950922008,684.7531950922008,WIN,PROFIT_TARGET,34.23765975461004,0
HIGH_VOL_EXPANSION,30,-5.589251850971294,-5.589251850971294,-111.78503701942589,-111.78503701942589,LOSS,WEAK_REVERSAL_EXIT,1.8350994615621259,-16.781859573187973
HIGH_VOL_EXPANSION,30,2.439857284239608,2.439857284239608,48.797145684792156,48.797145684792156,WIN,TIMEOUT,6.291300718210263,-12.325658316539833
HIGH_VOL_EXPANSION,30,3.695616588058985,3.695616588058985,73.9123317611797,73.9123317611797,WIN,TIMEOUT,6.682062546221264,-11.934896488528835
HIGH_VOL_EXPANSION,1,15.736869492861521,15.736869492861521,314.7373898572304,314.7373898572304,WIN,PROFIT_TARGET,15.736869492861521,0
HIGH_VOL_EXPANSION,30,-5.213416251366314,-5.213416251366314,-104.26832502732628,-104.26832502732628,LOSS,WEAK_REVERSAL_EXIT,3.418554783783387,-15.976106324055317
HIGH_VOL_EXPANSION,30,-3.617279471930542,-3.617279471930542,-72.34558943861084,-72.34558943861084,LOSS,WEAK_REVERSAL_EXIT,6.375085840325695,-13.019575267513005
HIGH_VOL_EXPANSION,30,-12.373526620692438,-12.373526620692438,-247.47053241384876,-247.47053241384876,LOSS,WEAK_REVERSAL_EXIT,7.363228988936344,-12.373526620692438
HIGH_VOL_EXPANSION,30,-1.4021207542894198,-1.4021207542894198,-28.0424150857884,-28.0424150857884,LOSS,WEAK_REVERSAL_EXIT,8.318573124895796,-11.418182484732982
HIGH_VOL_EXPANSION,30,-6.511375073461295,-6.511375073461295,-130.2275014692259,-130.2275014692259,LOSS,WEAK_REVERSAL_EXIT,7.774785130538636,-11.961970479090144
HIGH_VOL_EXPANSION,30,-7.683450991623532,-7.683450991623532,-153.66901983247064,-153.66901983247064,LOSS,WEAK_REVERSAL_EXIT,4.489350005527609,-15.247405604101171
HIGH_VOL_EXPANSION,30,-5.622130837440118,-5.622130837440118,-112.44261674880237,-112.44261674880237,LOSS,WEAK_REVERSAL_EXIT,4.013600113460162,-15.723155496168618
HIGH_VOL_EXPANSION,30,-8.489095884497566,-8.489095884497566,-169.7819176899513,-169.7819176899513,LOSS,WEAK_REVERSAL_EXIT,0,-19.73675560962878
HIGH_VOL_EXPANSION,30,2.0678220611314533,2.0678220611314533,41.356441222629066,41.356441222629066,WIN,TIMEOUT,5.7401301052843365,-12.887970675393548
HIGH_VOL_EXPANSION,30,2.600161252574803,2.600161252574803,52.00322505149606,52.00322505149606,WIN,TIMEOUT,6.946084188227272,-11.682016592450614
HIGH_VOL_EXPANSION,30,0.05504134080511064,0.05504134080511064,1.1008268161022128,1.1008268161022128,WIN,TIMEOUT,6.5876529796893735,-12.040447800988511
HIGH_VOL_EXPANSION,1,70.01873680407107,70.01873680407107,1400.3747360814214,1400.3747360814214,WIN,PROFIT_TARGET,70.01873680407107,0
